CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last,sigmoid_4_param_r2,sigmoid_4_param,sigmoid_2_param_r2,sigmoid_2_param,sigmoid_3_param_r2,sigmoid_3_param,fsigmoid_r2,fsigmoid,logistic_4_param_r2,logistic_4_param,ll4_4_param_r2,ll4_4_param,ll4R_4_param_r2,ll4R_4_param,logLogist_3_param_r2,logLogist_3_param,better_fitting
22RV1,924100,272,272_924100,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.950835454,0.88829904,0.739564291,0.430921454,0.276040589,0.15012313800000002,0.10409583900000001,0.074777122,0.061590400999999996,AR-42,22RV1,0.049164545999999976,0.013186721000000005,0.9978792495547204,[ 0.40602113  1.06282243 -9.79927341  0.07080931],0.989651539677468,[0.44171304 0.12098299],0.9967364253532488,[ 0.40699211 -8.53604797  0.04978907],0.989651541820545,[ 0.44171311 -8.26561702],0.9978633123106334,[0.97218596 4.14448383 0.42174167 0.03456636],0.9978633196763936,[0.42174167 0.97218596 4.14448352 0.03456635],0.997863320280034,[-3.57819182  0.97218594  4.14448459  0.0345664 ],0.9970767615435844,[-0.38305392 -3.57630761  0.08160129],sigmoid_4_param
K052,907284,268,268_907284,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.955622607,0.860205283,0.286764024,0.072857271,0.038846822,0.02468448,0.015155878999999999,0.012695618999999998,0.011503224,Sepantronium bromide,K052,0.04437739299999999,0.0011923949999999989,0.9988244541647556,[ 2.93799262e-01  1.03980712e+00 -2.48450727e+01  2.43748428e-02],0.9967883363964584,[0.29637313 0.04423334],0.9977930667401448,[ 2.92272146e-01 -2.24866395e+01  1.49122396e-02],0.996788335158074,[  0.29637314 -22.60737213],0.9992633714997471,[0.97967859 7.01439936 0.29204776 0.01831803],0.9992633710527948,[0.29204776 0.97967859 7.0143994  0.01831803],0.999263371122563,[-8.63358894  0.97967859  7.01439947  0.01831803],0.9984814346417382,[-0.53395385 -8.49778304  0.02351   ],logistic_4_param
HSC-2,753562,133,133_753562,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.978349134,0.837406908,0.700861614,0.388161331,0.225868491,0.146446034,0.125339925,0.012847225,0.007207049,Doxorubicin,HSC-2,0.02165086599999999,0.005640175999999999,0.9932876614612456,[ 0.39414448  0.98099598 -8.44069563  0.02977412],0.9895169306511171,[0.41842048 0.11677371],0.9932009506937081,[ 0.39374857 -8.79637713  0.03629262],0.989516928236784,[ 0.41842061 -8.56356097],0.9943775345521428,[ 0.9901144   3.27982814  0.41451482 -0.03942627],0.9943775328637132,[ 0.41451482  0.99011439  3.27982843 -0.03942624],0.9943775331534758,[-2.88836172  0.99011463  3.27982033 -0.0394269 ],0.9912829867587748,[-0.39756028 -3.38192188  0.0514751 ],logistic_4_param
KELLY,753618,170,170_753618,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.986029875,0.9981452140000001,0.928575843,0.543879536,0.035866427,0.007067411,0.004841636,0.004688564,0.002463922,Shikonin,KELLY,0.013970125000000055,0.002224642,0.9994481429237759,[ 4.50261510e-01  1.01204440e+00 -2.76339090e+01  7.26303361e-04],0.9992583114293948,[0.44969094 0.03787432],0.99933928691173,[ 4.50599596e-01 -2.64189731e+01 -4.55961468e-03],0.9992583118196912,[  0.44969092 -26.40312296],0.9988461007765148,[9.82599183e-01 1.38549857e+01 4.50647150e-01 2.86525030e-04],0.9988460980081476,[4.50647155e-01 9.82599202e-01 1.38549729e+01 2.86428446e-04],0.9988461009899176,[-1.10434034e+01  9.82599181e-01  1.38549874e+01  2.86531626e-04],0.9994276523002068,[-3.46829146e-01 -9.29008549e+00  4.05902803e-04],sigmoid_4_param
HT,907063,328,328_907063,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.971746881,0.845308775,0.646549181,0.563067521,0.396139435,0.389094738,0.369055287,0.361106218,0.367981787,SNX-2112,HT,0.02825311900000005,0.006875569000000026,0.9933289102612962,[ 0.27493212  1.45881336 -9.25994553  0.36000182],0.8363955414460208,[0.61171667 0.30792335],0.97831357979236,[ 0.20872558 -5.17009428  0.31613706],0.8363955292956284,[ 0.61171719 -3.24753556],0.9928075211001048,[0.99544902 3.16704127 0.32963918 0.33167842],0.9928075258192344,[0.32963908 0.99544897 3.16704611 0.33167867],0.9928075319597932,[-3.51465992  0.99544891  3.16705257  0.33167901],0.9933315372844668,[-0.4811926  -3.62710051  0.36548205],logLogist_3_param
HT-29,905939,252,252_905939,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.992918615,0.9457723440000001,0.9318565459999999,0.9404410040000001,0.9198670109999999,0.851462917,0.536508601,0.263339669,0.257337162,WZ3105,HT-29,0.007081384999999996,0.00600250699999999,0.9929676450604747,[  0.74158274   1.3806511  -19.43442923   0.23362998],0.9659560122579676,[0.81125294 0.11546973],0.9665686887625532,[ 0.81732998 -8.76570027 -0.0100934 ],0.9659560253480446,[ 0.81125375 -8.66014718],0.9919479907229868,[ 0.95614069 14.47630314  0.75827035  0.22471631],0.9919479911734178,[ 0.75827024  0.95614077 14.47627782  0.22471631],0.9919479856855132,[-4.00581491  0.95614066 14.47630735  0.22471627],0.9881792338199972,[-0.12337658 -3.23065575  0.23971434],sigmoid_4_param
SK-PN-DW,909731,170,170_909731,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.988960348,0.701221285,0.119991464,0.028485615,0.026372171,0.015854906000000002,0.012729268,0.00654098,0.006573562,Shikonin,SK-PN-DW,0.011039652000000013,3.258199999999975e-05,0.9997697557297204,[ 2.52603632e-01  1.00908069e+00 -2.65412611e+01  1.49993112e-02],0.9989245334317952,[0.25585312 0.03898636],0.9997104675435129,[ 2.52558460e-01 -2.60528730e+01  1.28928977e-02],0.998924534833234,[  0.2558531  -25.65000432],0.999858264599428,[0.99597549 7.23670145 0.24979627 0.01272818],0.9998582645826998,[0.24979627 0.99597549 7.23670153 0.01272818],0.9998582645617504,[-10.03809697   0.99597549   7.23670056   0.01272817],0.9998073293466772,[-0.59778822 -9.37565379  0.01475345],logistic_4_param
NCI-H1836,1240182,276,276_1240182,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.976871742,0.9913853090000001,0.938133222,0.7661862779999999,0.580546254,0.12607594,0.01062187,0.00788051,0.010657544,CAY10603,NCI-H1836,0.02312825799999996,0.0027770339999999994,0.9932671187842034,[  0.56445194   1.00521289 -14.34607254  -0.01456166],0.9922431215248756,[0.55715838 0.0717659 ],0.9932511943790668,[  0.56478071 -14.16644651  -0.01742206],0.9922431230695148,[  0.55715819 -13.93417781],0.9899732292771664,[ 0.97141024  7.91397305  0.56509186 -0.03280968],0.989973218212992,[ 0.56509184  0.97141025  7.9139742  -0.03280963],0.989973216069842,[-4.51704476  0.97140996  7.91399581 -0.03280956],0.9948894999779588,[-0.24989687 -4.39666951 -0.00545889],logLogist_3_param
EW-13,949166,272,272_949166,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9612300509999999,0.9560010790000001,0.731671422,0.728165985,0.550233299,0.56694335,0.48510175299999997,0.405972493,0.390710166,AR-42,EW-13,0.03876994900000008,0.015262326999999963,0.96837626741433,[ 0.34559698  1.33024218 -4.83120588  0.35782971],0.9088871926165096,[0.76336552 0.30594956],0.9659748505944632,[ 0.35230025 -3.2609819   0.27243255],0.9088871685783588,[ 0.76336553 -3.26852618],0.9721911343258678,[1.00242987 2.18525741 0.51880274 0.24901337],0.9721911320297444,[0.5188037  1.00243114 2.18523253 0.24901021],0.9721911176271276,[-1.43404247  1.00242955  2.18526516  0.24901463],0.9618995144038196,[-0.35518827 -2.30457256  0.41647016],logistic_4_param
HT-29,905939,208,208_905939,2,0.128,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.970746676,0.980260826,0.979695753,0.9651629209999999,0.966859534,0.7689585259999999,0.30289356,0.28481681600000003,0.31350716,Ispinesib Mesylate,HT-29,0.029253324000000025,0.028690343999999982,0.9986689255083946,[  0.67531924   1.47264411 -49.29862289   0.29829883],0.9073849652169572,[0.77541008 0.12151413],0.9131829846202656,[ 0.75210767 -8.24454523  0.03459185],0.9073849483546936,[ 0.77541028 -8.22948289],0.9986533886915728,[ 0.97718016 37.48306546  0.68130412  0.29883146],0.9986533886738832,[ 0.68130413  0.97718016 37.48304826  0.29883146],0.9986533886798972,[-14.38398761   0.97718016  37.48304738   0.29883146],0.9958291609377976,[-0.16254765 -8.73925898  0.29372239],sigmoid_4_param
HT-29,905939,163,163_905939,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9735289970000001,0.835159813,0.834819063,0.668342211,0.436592735,0.350108879,0.23715128800000002,0.171175558,0.145960104,JQ1,HT-29,0.026471002999999937,0.025215453999999998,0.9916772157331308,[ 0.48080461  1.10987434 -6.82408054  0.11782322],0.9813688910696,[0.56365488 0.17974852],0.9903112693662008,[ 0.49459909 -5.59386136  0.06973448],0.9813688913496011,[ 0.56365534 -5.56330695],0.9887755156706874,[0.96824078 3.1763739  0.54285835 0.01313855],0.9887755016813876,[0.54285808 0.96824065 3.1763794  0.01313933],0.9887755139511918,[-1.94049302  0.96823999  3.17640327  0.01314218],0.9911555510423284,[-0.30670473 -2.48583464  0.16063744],sigmoid_4_param
HT-29,905939,276,276_905939,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.962670754,0.9629192870000001,0.902048678,0.7122941909999999,0.343716675,0.152078364,0.08374253,0.072598231,0.054654985,CAY10603,HT-29,0.03732924599999998,0.017943245999999996,0.9993216322732876,[  0.49594467   1.09071107 -14.43206645   0.06463894],0.993319205895534,[0.51387518 0.08762728],0.99508095732374,[  0.50218534 -11.47239238   0.02271187],0.9933192064808432,[  0.51387512 -11.41199654],0.9988992746934351,[0.97075441 7.23648826 0.50188147 0.05001365],0.9988992708416844,[0.50188149 0.97075434 7.23649628 0.05001375],0.9988992704686648,[-4.98877745  0.97075434  7.23649641  0.05001375],0.9985608445177548,[-0.30168902 -4.72198745  0.06973081],sigmoid_4_param
CAL-29,1290730,1007,1007_1290730,2,0.0125,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9995965640000001,0.885650655,0.8480612679999999,0.6924851609999999,0.481237044,0.417549939,0.231699789,0.20195795100000002,0.191988977,Docetaxel,CAL-29,0.0004034359999999237,0.009968974000000021,0.9923009893681668,[ 0.48781527  1.14155353 -7.01120372  0.15194817],0.9752785162892748,[0.59689599 0.18318196],0.9897334333633724,[ 0.50743886 -5.45951682  0.08893511],0.9752785104358188,[ 0.59689663 -5.45903992],0.9902716071408978,[0.98549383 3.28563377 0.54708206 0.05460925],0.9902715981115531,[0.54708233 0.98549416 3.28562266 0.05460813],0.9902716061525004,[-1.98178813  0.98549241  3.28568297  0.0546142 ],0.9920305062616196,[-0.29258936 -2.60261269  0.19380901],sigmoid_4_param
TGBC24TKB,910695,173,173_910695,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9524513520000001,0.8942636620000001,0.932053757,0.9380342159999999,0.803886698,0.57932791,0.353339759,0.048661122,0.040359376,FH535,TGBC24TKB,0.047548647999999916,0.008301745999999999,0.9904375107793828,[  0.71795759   1.01471835 -10.88940295  -0.03108389],0.98316201666446,[0.69736526 0.09784727],0.9903751550420696,[  0.72177785 -10.59709148  -0.04307777],0.9831620136205708,[  0.69736529 -10.22000557],0.9896559721785918,[ 0.94740389  7.23249337  0.72743791 -0.08457818],0.989655966216353,[ 0.72743763  0.94740384  7.23250827 -0.08457717],0.9896559660084172,[-2.30154141  0.9474041   7.23243245 -0.08458231],0.9896883629215149,[-0.14944724 -2.44762234  0.01771215],sigmoid_4_param
NCI-H2170,687815,173,173_687815,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9965690620000001,0.804624674,0.728531975,0.549227577,0.17752121399999998,0.038381088,0.04005233,0.131918325,0.12983962300000002,FH535,NCI-H2170,0.003430937999999939,0.002078701999999988,0.9747226268642762,[  0.41747637   1.11351228 -12.30759595   0.07014114],0.964548349980245,[0.43366071 0.10266656],0.9700115822451262,[ 0.40773647 -9.5326657   0.04180814],0.9645483484857418,[ 0.43366062 -9.74025323],0.9649212490923385,[0.93523463 5.88584191 0.43194074 0.0596709 ],0.96492122823549,[0.43194076 0.93523456 5.88584754 0.05967099],0.9649212262801604,[-4.9409086   0.93523637  5.88575118  0.05967032],0.9763189913787896,[-0.3803808  -3.91821685  0.07147677],logLogist_3_param
HT-29,905939,274,274_905939,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.98080701,0.864160707,0.761649024,0.43612710200000004,0.16349234699999998,0.07059278599999999,0.047358973,0.035174275,0.034995807999999996,Belinostat,HT-29,0.01919298999999996,0.0001784670000000016,0.9978705119099917,[  0.4144378    1.04380651 -12.41177068   0.03105958],0.9961554589052936,[0.42285343 0.08946831],0.9970365243400228,[  0.41423133 -11.16932671   0.01628919],0.9961554543711711,[  0.42285343 -11.17713862],0.99501018962857,[0.96234022 5.40940744 0.42077662 0.01265762],0.9950101938032176,[0.4207766  0.96234026 5.40940491 0.01265759],0.9950101929066104,[-4.68266318  0.9623404   5.4093976   0.01265748],0.9977520244332968,[-0.38158578 -4.27823996  0.03463156],sigmoid_4_param
ALL-PO,910944,344,344_910944,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.966868174,0.798495683,0.5948947520000001,0.321719485,0.240072631,0.007078034,0.0072079180000000015,0.009359323000000001,0.009922153000000001,THZ-2-49,ALL-PO,0.033131825999999975,0.0005628300000000003,0.9928472497920448,[ 0.3721969   0.92982818 -8.30985103 -0.01304797],0.9911360518068012,[0.37846696 0.10562828],0.9913312741008972,[ 3.73279086e-01 -9.50462331e+00  8.22469484e-03],0.991136051099778,[ 0.37846696 -9.46716163],0.9912656164632421,[ 0.98822513  3.14047089  0.38338442 -0.07389189],0.9912656124217442,[ 0.38338464  0.98822517  3.14046601 -0.07389248],0.9912656124026354,[-3.01081547  0.98822518  3.14046505 -0.07389258],0.9929360595648152,[-4.22786197e-01 -3.23674568e+00  1.90876970e-03],logLogist_3_param
CESS,910688,330,330_910688,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.97063655,0.984342154,0.953620922,0.9543326109999999,0.9633965720000001,0.599177533,0.5150035510000001,0.08150004400000001,0.043312794,XMD13-2,CESS,0.02936344999999996,0.038187250000000006,0.9733307460318916,[  0.76538676   0.95585997 -10.72455435  -0.05902268],0.97131402447411,[0.74301377 0.08816099],0.9727810842301872,[  0.75291951 -11.50891427  -0.01888405],0.9713140434499042,[  0.74301348 -11.34297164],0.973381248804536,[ 0.981859    7.34418312  0.77233065 -0.13096092],0.9733812933775076,[ 0.77233701  0.98186075  7.34382987 -0.13098823],0.973381272250778,[-1.89730184  0.98185915  7.34415304 -0.13096325],0.9750203715008032,[-0.12229445 -2.53730852  0.02572813],logLogist_3_param
NCI-SNU-16,908446,87,87_908446,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.971684732,0.9471472009999999,0.926193275,0.703040777,0.18986661,0.137973735,0.142885702,0.14501950800000002,0.151073966,GW843682X,NCI-SNU-16,0.02831526799999995,0.006054457999999985,0.9983729768522399,[  0.46223126   1.21537401 -30.58116794   0.14244278],0.9493966490354888,[0.48950481 0.06683452],0.9665721212880772,[  0.46566104 -15.03515017   0.06237487],0.9493966554883496,[  0.48950448 -14.96264762],0.9980491920934484,[ 0.96257414 15.67770777  0.46652852  0.14284412],0.9980491922557364,[ 0.46652852  0.96257414 15.67771099  0.14284412],0.99804919303782,[-11.95326131   0.96257412  15.67772168   0.14284414],0.9957630185359212,[-0.33114941 -9.29688474  0.13979216],sigmoid_4_param
