CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last
SF539,905984,200,200_905984,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.97509237,0.950608795,0.8970478540000001,0.791352582,0.496540804,0.21063548899999998,0.11173829099999999,0.055023307,0.03508229,Dacinostat,SF539,0.02490762999999996,0.019941017
TC-71,1240221,1149,1149_1240221,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.969429093,0.979064479,0.930002673,0.763604252,0.35711552399999996,0.14087248800000002,0.067393396,0.031422697,0.022324589,TW 37,TC-71,0.03057090699999998,0.009098108
KARPAS-620,1327775,344,344_1327775,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9772887020000001,0.88354954,0.82174929,0.664328512,0.344562811,0.003598913,0.0030356109999999997,0.003219159,0.005211286,THZ-2-49,KARPAS-620,0.022711297999999935,0.001992127
HEL,907053,179,179_907053,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.991249215,0.8945224940000001,0.691369283,0.487287839,0.279890751,0.20528418899999998,0.17600179999999999,0.145782023,0.12179441099999999,5-Fluorouracil,HEL,0.008750785000000039,0.02398761200000002
SF539,905984,235,235_905984,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.984999595,0.9191475159999999,0.856255309,0.406869993,0.02182648,0.005884977,0.0031745709999999997,0.00321098,0.0029156670000000003,QL-XII-47,SF539,0.015000404999999994,0.00029531299999999974
PANC-02-03,1298475,303,303_1298475,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.992908398,0.886636387,0.741770895,0.6763584290000001,0.562728486,0.45984563799999995,0.45089514299999994,0.4086886,0.363833203,PIK-93,PANC-02-03,0.00709160200000003,0.04485539700000002
IGR-37,1240153,1004,1004_1240153,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.958439809,0.992156429,0.8333898679999999,0.641566188,0.34164053200000005,0.178939758,0.11282400000000001,0.038292765,0.027926135,Vinblastine,IGR-37,0.04156019099999997,0.010366629999999998
KMRC-1,1298168,272,272_1298168,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.99179064,0.9894036490000001,0.970159303,0.974734368,0.852163935,0.485826686,0.18154813,0.077879295,0.045351959000000004,AR-42,KMRC-1,0.008209360000000054,0.032527336
HEL,907053,268,268_907053,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.97413273,0.858553892,0.6734801859999999,0.416062831,0.235300743,0.182937006,0.147464561,0.102482755,0.092501037,Sepantronium bromide,HEL,0.025867269999999998,0.009981718
HUTU-80,907073,269,269_907073,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965008758,0.9149944790000001,0.9198883659999999,0.8660571290000001,0.8533263590000001,0.559943086,0.035268766,-0.011154239,-0.012915796,NSC-207895,HUTU-80,0.034991242000000033,0.0017615570000000004
GDM-1,906870,179,179_906870,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965687913,0.91373912,0.815086573,0.69983202,0.45377557399999996,0.31057748399999996,0.292285437,0.255212597,0.220591215,5-Fluorouracil,GDM-1,0.03431208699999999,0.03462138199999998
UACC-257,905977,273,273_905977,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9809068790000001,0.870423603,0.777219821,0.668095624,0.6010779039999999,0.362240481,0.17762889699999998,0.073908248,0.054712625,CUDC-101,UACC-257,0.019093120999999935,0.019195622999999995
KP-4,753572,235,235_753572,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.98253374,0.7009973279999999,0.671921413,0.612467081,0.441165798,0.156005943,0.012980977,0.008820962,0.006005535,QL-XII-47,KP-4,0.017466259999999956,0.0028154269999999997
GA-10,1303896,56,56_1303896,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.965037215,0.8739782970000001,0.538672756,0.26768452800000003,0.104350024,0.058978827000000004,0.061131178,0.063283529,0.060923177,WH-4-023,GA-10,0.03496278500000005,0.002360352000000003
NCI-H82,688031,86,86_688031,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.950649836,0.9678889479999999,0.962161464,0.887867078,0.8677547809999999,0.639661171,0.26400340899999997,0.051083145,0.011491266000000002,A-443654,NCI-H82,0.04935016400000003,0.039591879
RT-112,909704,308,308_909704,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.963646752,0.900620419,0.84217782,0.7180989109999999,0.469376109,0.173640564,0.103124519,0.016716479,0.010709234,WIKI4,RT-112,0.03635324799999995,0.006007245
Toledo,1331046,152,152_1331046,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9588750779999999,0.9572192429999999,0.83951184,0.799062176,0.527299941,0.393233393,0.151114326,0.054011475999999996,0.031987636,CP466722,Toledo,0.041124922000000064,0.022023839999999996
LB2518-MEL,753579,328,328_753579,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9682184709999999,0.961348888,0.9157558109999999,0.662547843,0.34897338299999997,0.255954848,0.25756340699999997,0.252675009,0.258972742,SNX-2112,LB2518-MEL,0.031781529000000086,0.006297732999999972
KINGS-1,907279,273,273_907279,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.985482555,0.992367445,0.91938824,0.7897457959999999,0.572841997,0.12298010000000002,0.025068632,0.020225392,-0.000499787,CUDC-101,KINGS-1,0.014517444999999962,0.020725179
