CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,auc,spearman_r,count_missing
SK-N-FI,688087,200,200_688087,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.009760608,1.015503774,1.021540914,1.002816161,0.904854957,0.632104007,0.48303691,0.233440353,0.116420336,Dacinostat,SK-N-FI,0.7623630948581392,-0.8303030303030302,0
COLO-205,905961,308,308_905961,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.033172483,1.025006066,1.027681181,1.003946247,1.029348785,0.898999834,0.33543386,0.166075185,0.017408908,WIKI4,COLO-205,0.7809297885690512,-0.7333333333333332,0
SW982,909759,225,225_909759,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.961323321,0.999866752,0.929039569,0.89030573,0.806173756,0.810045395,0.922046818,0.839810996,0.013220941000000002,Genentech Cpd 10,SW982,0.8516914230521039,-0.8424242424242423,0
MOLP-8,1330950,294,294_1330950,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.053434582,1.077430028,1.06579391,0.872056498,0.7069020559999999,0.515694079,0.469095635,0.324291807,0.079174133,MPS-1-IN-1,MOLP-8,0.7360317402201141,-0.8909090909090909,0
HGC-27,907055,303,303_907055,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.015506316,0.999547043,1.002064757,0.933814685,0.864461673,0.523265917,0.361006222,0.188817634,0.043791238,PIK-93,HGC-27,0.7122644297424293,-0.9393939393939392,0
A431,910925,158,158_910925,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.080664967,1.048383,1.020199788,1.058386524,1.147047723,1.032504593,0.8903759859999999,0.650252973,0.098590407,PF-562271,A431,0.9419011954385936,-0.5515151515151515,0
SAS,909708,252,252_909708,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.024196377,1.040648932,1.00074628,0.960447339,0.844305988,0.860551472,0.720453059,0.589931045,0.086605445,WZ3105,SAS,0.8427314683374229,-0.9030303030303028,0
Calu-6,724859,256,256_724859,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.996361535,0.968978778,0.917856323,0.950370371,0.85413211,0.832188302,0.754405842,0.797330196,0.191259167,JW-7-24-1,Calu-6,0.8519170045503343,-0.9757575757575756,0
LOXIMVI,905974,133,133_905974,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.172141044,1.0296518,1.055723761,1.121490571,1.011284046,0.705061127,0.6746631270000001,0.404525432,0.039209375,Doxorubicin,LOXIMVI,0.8549050663781491,-0.7696969696969697,0
KARPAS-299,907273,252,252_907273,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.064809133,0.852200827,0.96988733,0.969099872,1.006092848,0.97766061,0.409268432,0.018816139,0.002510487,WZ3105,KARPAS-299,0.7521211596243641,-0.7090909090909091,0
